project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,longitude,latitude,planning_area,subzone
LANDED HOUSING DEVELOPMENT in NEO PEE TECK LANE,28 NEO PEE TECK LANE SINGAPORE 119055,16509.7300690521,14838.696545199144,private,103.76964965705892,1.292910726439202,QUEENSTOWN,PASIR PANJANG 1
TURQUOISE,55 COVE DRIVE TURQUOISE SINGAPORE 098395,16106.77726750861,16026.239256006558,private,103.83675517458336,1.2424409850962668,SOUTHERN ISLANDS,SENTOSA
ARTRA,10 ALEXANDRA VIEW ARTRA SINGAPORE 158745,22787.813556306704,22878.015799628723,private,103.81718527391092,1.2900306705735745,BUKIT MERAH,REDHILL
RESIDENTIAL APARTMENTS,112 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238707,16129.032258064515,16129.032258064515,private,103.83027229030732,1.2825061550750398,BUKIT MERAH,TIONG BAHRU
CITY GATE,371 BEACH ROAD CITY GATE SINGAPORE 199597,21698.11320754717,21576.955823876408,private,103.86226001233264,1.3023475431295195,KALLANG,CRAWFORD
FABER HILLS,20 FABER DRIVE FABER HILLS SINGAPORE 129350,15205.091937765204,15613.605439867604,private,103.7592655305928,1.3186059137755193,CLEMENTI,FABER
THE COAST AT SENTOSA COVE,280 OCEAN DRIVE THE COAST AT SENTOSA COVE SINGAPORE 098451,17191.011235955055,16777.470688262678,private,103.8435456932676,1.2452889471814053,SOUTHERN ISLANDS,SENTOSA
THE FOLIAGE,372 PASIR PANJANG ROAD THE FOLIAGE SINGAPORE 118709,14827.586206896553,14516.083986029254,private,103.77405714193232,1.2910203128569078,QUEENSTOWN,PASIR PANJANG 1
MARINA BAY SUITES,3 CENTRAL BOULEVARD MARINA BAY SUITES SINGAPORE 018965,20529.80132450331,20613.39452950835,private,103.8521432776598,1.2803449800408624,DOWNTOWN CORE,CENTRAL SUBZONE
SPOTTISWOODE SUITES,16 SPOTTISWOODE PARK ROAD SPOTTISWOODE SUITES SINGAPORE 088661,24987.57763975155,24188.22330125746,private,103.83750204635528,1.276035116078278,BUKIT MERAH,EVERTON PARK
SENTOSA COVE,146 OCEAN DRIVE SENTOSA COVE SINGAPORE 098496,19947.831942486133,19954.672790623703,private,103.8460871199235,1.250721688486397,SOUTHERN ISLANDS,SENTOSA
HARBOURLIGHTS,68 TELOK BLANGAH ROAD HARBOURLIGHTS SINGAPORE 098865,19078.947368421053,18486.82391189334,private,103.8228925155598,1.2665601059288716,BUKIT MERAH,MARITIME SQUARE
V ON SHENTON,5A SHENTON WAY V ON SHENTON SINGAPORE 068814,23176.274944567627,23013.253521909828,private,103.84918134351813,1.2770834071094717,DOWNTOWN CORE,CECIL
SPRINGWOOD,70 JALAN MAT JAMBOL SPRINGWOOD SINGAPORE 119543,18648.01864801865,19317.387732210507,private,103.79105636568924,1.2803184443399551,QUEENSTOWN,PASIR PANJANG 2
CLAVON,8 CLEMENTI AVENUE 1 CLAVON SINGAPORE 129964,17738.808648066744,18087.31914653756,private,103.76708597545635,1.3085123770186808,CLEMENTI,CLEMENTI WOODS
BURLINGTON SQUARE,175B BENCOOLEN STREET BURLINGTON SQUARE SINGAPORE 189651,14338.709677419354,14630.523823396592,private,103.85270021468804,1.302243270426296,ROCHOR,BENCOOLEN
MOUNT FABER LODGE,27 MOUNT FABER ROAD MOUNT FABER LODGE SINGAPORE 099200,15217.391304347826,14605.607280219563,private,103.82463553922562,1.268900320136196,BUKIT MERAH,MARITIME SQUARE
LANDED HOUSING DEVELOPMENT in CHWEE CHIAN VIEW,35 CHWEE CHIAN VIEW CHWEE CHIAN VIEW SINGAPORE 119712,17731.550272412085,17731.550272412085,private,103.78813096666268,1.2801383557536985,QUEENSTOWN,PASIR PANJANG 2
ONE SHENTON,1 SHENTON WAY ONE SHENTON SINGAPORE 068803,18352.941176470587,18531.308067125286,private,103.85055262356882,1.2792949135716083,DOWNTOWN CORE,CECIL
THE VISION,69 WEST COAST CRESCENT THE VISION SINGAPORE 128060,15026.167785234898,14558.093833835996,private,103.76492826974368,1.2983155629093148,CLEMENTI,CLEMENTI WEST
LANDED HOUSING DEVELOPMENT in FABER GREEN,83 FABER GREEN FABER HILLS SINGAPORE 129304,14598.5401459854,14598.5401459854,private,103.75866138739464,1.3195132650685906,CLEMENTI,FABER
MIDTOWN BAY,122 BEACH ROAD MIDTOWN BAY SINGAPORE 189770,33606.40350877193,33878.60594744048,private,103.85736876919842,1.2963566644389748,DOWNTOWN CORE,CITY HALL
HERITAGE VIEW,10 DOVER RISE HERITAGE VIEW SINGAPORE 138680,13944.444444444443,14662.686674529949,private,103.78427862672272,1.304416722314186,QUEENSTOWN,DOVER
LANDED HOUSING DEVELOPMENT in COVE DRIVE,106 COVE DRIVE SINGAPORE 098144,19870.18148099086,21830.78056973336,private,103.83258380616924,1.238100166352127,SOUTHERN ISLANDS,SENTOSA
CARABELLE,65 WEST COAST WAY CARABELLE SINGAPORE 127022,15104.166666666666,15686.153716596662,private,103.75626041175792,1.3172517267545043,CLEMENTI,WEST COAST
THE PEARL @ MOUNT FABER,11 MOUNT FABER ROAD THE PEARL @ MT FABER SINGAPORE 099209,13860.46511627907,14032.908907257686,private,103.8247119416636,1.2703680539766609,BUKIT MERAH,MARITIME SQUARE
BUONA VISTA GARDENS,2 ZEHNDER ROAD BUONA VISTA GARDENS SINGAPORE 117687,13823.529411764706,13481.792717086835,private,103.7869104254134,1.2825170824886116,QUEENSTOWN,PASIR PANJANG 1
OCEAN 8,128 OCEAN DRIVE OCEAN 8 SINGAPORE 098509,18803.855903241307,18803.855903241307,private,103.84564372236764,1.252442182917722,SOUTHERN ISLANDS,SENTOSA
CHUVILLE,247G PASIR PANJANG ROAD CHU VILLE SINGAPORE 118607,10065.645514223195,10065.645514223195,private,103.7839089627015,1.2802884298295834,QUEENSTOWN,PASIR PANJANG 1
FRAGRANCE COURT,12 YEW SIANG ROAD FRAGRANCE COURT SINGAPORE 117752,13143.939393939394,13317.840852117146,private,103.79312215664356,1.2772855882178786,QUEENSTOWN,PASIR PANJANG 2
LIIV RESIDENCES,339 PASIR PANJANG ROAD LIIV RESIDENCES SINGAPORE 117368,18909.090909090908,16995.402298850575,private,103.77662643642782,1.2885136991743402,QUEENSTOWN,PASIR PANJANG 1
THE CREST,113 PRINCE CHARLES CRESCENT THE CREST SINGAPORE 159023,20909.090909090908,20961.966894678226,private,103.82050553244494,1.2931174058121584,BUKIT MERAH,ALEXANDRA NORTH
SUNSHINE PLAZA,10 PRINSEP LINK SUNSHINE PLAZA SINGAPORE 187948,14742.268041237114,14680.501423096435,private,103.85068733742014,1.3004710722081925,ROCHOR,BENCOOLEN
FLYNN PARK,8 PARK VILLAS RISE PARK VILLAS SINGAPORE 545400,20035.644796313343,20035.644796313343,private,103.79274385101009,1.278915042096626,QUEENSTOWN,PASIR PANJANG 2
