full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
1 BEACH RD,5190.35294117647,5388.655016636695,public,1.29509740789339,103.85406834457
1 BEDOK STH AVE 1,5254.237288135593,5331.646425329555,public,1.32085208990817,103.933721096337
1 CHAI CHEE RD,4165.413533834586,4282.89974854391,public,1.32796879176302,103.922716018139
1 CHANGI VILLAGE RD,4545.454545454545,4516.839503779803,public,1.3886100383707,103.988093482829
1 DELTA AVE,7310.924369747899,7280.616905585764,public,1.2920752508431,103.828584077626
1 DOVER RD,5384.615384615385,5347.362135581314,public,1.30252574694853,103.783273166817
1 EVERTON PK,6195.652173913043,6408.464654136172,public,1.27742654288695,103.840001188095
1 GHIM MOH RD,5305.969230769231,5213.586651944546,public,1.31287975684307,103.786855017635
1 HAIG RD,5913.35593220339,5825.948774366555,public,1.31129091782202,103.897703436187
1 HOUGANG AVE 3,4542.857142857143,4561.544636522326,public,1.36413097349222,103.89300132385
1 JLN BT MERAH,5453.125,5327.6375,public,1.28647148628638,103.808275089948
1 KG KAYU RD,5483.870967741936,5810.930390492361,public,1.30355769675629,103.883796413118
1 LOR 7 TOA PAYOH,3955.223880597015,4081.1922790738386,public,1.33943033543358,103.853442790992
1 LOR LEW LIAN,5146.618150684932,5245.132655116841,public,1.35086712646948,103.875343939672
1 MARINE TER,6833.333333333333,6886.261316464992,public,1.30482902187779,103.918614976369
1 MARSILING DR,3538.4615384615386,3774.3463736263734,public,1.44067942258288,103.776119757434
1 PINE CL,7675.837320574163,7571.1579196138255,public,1.30787056219408,103.883192164927
1 QUEEN'S RD,7415.650406504065,7455.787262872629,public,1.31726629524359,103.806782877524
1 ST. GEORGE'S RD,4890.243902439024,5064.156945917285,public,1.32340263694069,103.86163080083
1 TECK WHYE AVE,3834.9514563106795,4096.236710023367,public,1.38253882861956,103.751710905678
1 TELOK BLANGAH CRES,4950.0,4975.107944307944,public,1.27945660077329,103.817897561986
1 TG PAGAR PLAZA,7762.71186440678,7770.716853767702,public,1.27557006195331,103.842683445252
1 TOH YI DR,6803.2786885245905,6786.575055776507,public,1.33957175314186,103.774678246393
10 CHAI CHEE RD,5555.555555555556,5656.238129744651,public,1.32727572366021,103.924803599281
10 EUNOS CRES,5516.483516483517,5417.701549382295,public,1.32228655863065,103.902720513959
10 GLOUCESTER RD,5970.149253731343,6026.6222991323575,public,1.31369315585356,103.840387458086
10 HAIG RD,5135.384615384615,5227.251225229064,public,1.31483950176268,103.895865169739
10 HOLLAND AVE,6250.0,6172.727272727273,public,1.30814997104791,103.794275184926
10 JLN BATU,5954.198473282443,5972.0240501156295,public,1.30201289804622,103.882922881502
10 JLN BT HO SWEE,7058.823529411765,6752.100840336135,public,1.28745837020188,103.832675765986
10 JLN KUKOH,5278.752436647173,4972.492968299194,public,1.2869738344398,103.839075823483
10 JLN RUMAH TINGGI,5410.211267605634,5414.929800639865,public,1.28820018880462,103.808369387433
