project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
LANDED HOUSING DEVELOPMENT in NEO PEE TECK LANE,28 NEO PEE TECK LANE SINGAPORE 119055,16509.7300690521,14838.696545199144,private,103.76964965705892,1.292910726439202
TURQUOISE,55 COVE DRIVE TURQUOISE SINGAPORE 098395,16106.77726750861,16026.239256006558,private,103.83675517458337,1.2424409850962668
ARTRA,10 ALEXANDRA VIEW ARTRA SINGAPORE 158745,22787.813556306704,22878.015799628723,private,103.81718527391092,1.2900306705735745
RESIDENTIAL APARTMENTS,112 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238707,16129.032258064517,16129.032258064517,private,103.83027229030733,1.2825061550750398
CITY GATE,371 BEACH ROAD CITY GATE SINGAPORE 199597,21698.11320754717,21576.955823876408,private,103.86226001233263,1.3023475431295197
FABER HILLS,20 FABER DRIVE FABER HILLS SINGAPORE 129350,15205.091937765204,15613.605439867604,private,103.75926553059281,1.3186059137755193
THE COAST AT SENTOSA COVE,280 OCEAN DRIVE THE COAST AT SENTOSA COVE SINGAPORE 098451,17191.011235955055,16777.470688262678,private,103.8435456932676,1.2452889471814053
THE FOLIAGE,372 PASIR PANJANG ROAD THE FOLIAGE SINGAPORE 118709,14827.586206896553,14516.083986029254,private,103.77405714193232,1.2910203128569078
MARINA BAY SUITES,3 CENTRAL BOULEVARD MARINA BAY SUITES SINGAPORE 018965,20529.80132450331,20613.39452950835,private,103.85214327765979,1.2803449800408624
SPOTTISWOODE SUITES,16 SPOTTISWOODE PARK ROAD SPOTTISWOODE SUITES SINGAPORE 088661,24987.57763975155,24188.22330125746,private,103.83750204635528,1.276035116078278
SENTOSA COVE,146 OCEAN DRIVE SENTOSA COVE SINGAPORE 098496,19947.831942486133,19954.672790623703,private,103.8460871199235,1.250721688486397
HARBOURLIGHTS,68 TELOK BLANGAH ROAD HARBOURLIGHTS SINGAPORE 098865,19078.947368421053,18486.82391189334,private,103.82289251555979,1.2665601059288716
V ON SHENTON,5A SHENTON WAY V ON SHENTON SINGAPORE 068814,23176.274944567627,23013.253521909828,private,103.84918134351813,1.2770834071094717
SPRINGWOOD,70 JALAN MAT JAMBOL SPRINGWOOD SINGAPORE 119543,18648.01864801865,19317.387732210507,private,103.79105636568923,1.2803184443399551
CLAVON,8 CLEMENTI AVENUE 1 CLAVON SINGAPORE 129964,17738.808648066744,18087.31914653756,private,103.76708597545635,1.3085123770186808
BURLINGTON SQUARE,175B BENCOOLEN STREET BURLINGTON SQUARE SINGAPORE 189651,14338.709677419354,14630.523823396592,private,103.85270021468804,1.302243270426296
MOUNT FABER LODGE,27 MOUNT FABER ROAD MOUNT FABER LODGE SINGAPORE 099200,15217.391304347826,14605.607280219565,private,103.82463553922562,1.268900320136196
LANDED HOUSING DEVELOPMENT in CHWEE CHIAN VIEW,35 CHWEE CHIAN VIEW CHWEE CHIAN VIEW SINGAPORE 119712,17731.550272412085,17731.550272412085,private,103.78813096666268,1.2801383557536985
ONE SHENTON,1 SHENTON WAY ONE SHENTON SINGAPORE 068803,18352.941176470587,18531.308067125286,private,103.85055262356882,1.2792949135716083
THE VISION,69 WEST COAST CRESCENT THE VISION SINGAPORE 128060,15026.167785234898,14558.093833835997,private,103.76492826974369,1.2983155629093148
LANDED HOUSING DEVELOPMENT in FABER GREEN,83 FABER GREEN FABER HILLS SINGAPORE 129304,14598.5401459854,14598.5401459854,private,103.75866138739464,1.3195132650685906
MIDTOWN BAY,122 BEACH ROAD MIDTOWN BAY SINGAPORE 189770,33606.40350877193,33878.60594744048,private,103.85736876919842,1.2963566644389748
HERITAGE VIEW,10 DOVER RISE HERITAGE VIEW SINGAPORE 138680,13944.444444444445,14662.686674529947,private,103.78427862672272,1.304416722314186
LANDED HOUSING DEVELOPMENT in COVE DRIVE,106 COVE DRIVE SINGAPORE 098144,19870.18148099086,21830.780569733357,private,103.83258380616923,1.238100166352127
CARABELLE,65 WEST COAST WAY CARABELLE SINGAPORE 127022,15104.166666666666,15686.153716596662,private,103.75626041175792,1.3172517267545043
THE PEARL @ MOUNT FABER,11 MOUNT FABER ROAD THE PEARL @ MT FABER SINGAPORE 099209,13860.46511627907,14032.908907257686,private,103.8247119416636,1.2703680539766609
BUONA VISTA GARDENS,2 ZEHNDER ROAD BUONA VISTA GARDENS SINGAPORE 117687,13823.529411764706,13481.792717086835,private,103.7869104254134,1.2825170824886116
OCEAN 8,128 OCEAN DRIVE OCEAN 8 SINGAPORE 098509,18803.855903241307,18803.855903241307,private,103.84564372236763,1.252442182917722
CHUVILLE,247G PASIR PANJANG ROAD CHU VILLE SINGAPORE 118607,10065.645514223195,10065.645514223195,private,103.7839089627015,1.2802884298295834
FRAGRANCE COURT,12 YEW SIANG ROAD FRAGRANCE COURT SINGAPORE 117752,13143.939393939394,13317.840852117146,private,103.79312215664355,1.2772855882178786
LIIV RESIDENCES,339 PASIR PANJANG ROAD LIIV RESIDENCES SINGAPORE 117368,18909.090909090908,16995.402298850575,private,103.77662643642782,1.2885136991743402
THE CREST,113 PRINCE CHARLES CRESCENT THE CREST SINGAPORE 159023,20909.090909090908,20961.966894678226,private,103.82050553244494,1.2931174058121584
SUNSHINE PLAZA,10 PRINSEP LINK SUNSHINE PLAZA SINGAPORE 187948,14742.268041237114,14680.501423096435,private,103.85068733742014,1.3004710722081925
FLYNN PARK,8 PARK VILLAS RISE PARK VILLAS SINGAPORE 545400,20035.644796313343,20035.644796313343,private,103.79274385101009,1.278915042096626
LANDED HOUSING DEVELOPMENT in FABER GROVE,20 FABER GROVE FABER HILLS SINGAPORE 129233,13890.552187597845,13890.552187597845,private,103.75582547477666,1.3228162587496912
LANDED HOUSING DEVELOPMENT in LAKESHORE VIEW,54 LAKESHORE VIEW SINGAPORE 098441,18977.904297139758,19848.448415307994,private,103.83629891324777,1.2513105447748385
ALTEZ,16 ENGGOR STREET ALTEZ SINGAPORE 079717,21321.428571428572,21689.728045964897,private,103.84431955372328,1.2746179410524223
ISLAND VIEW,38D JALAN MAT JAMBOL ISLAND VIEW SINGAPORE 119522,13169.23076923077,13478.299882719213,private,103.79365746647713,1.2794076452222363
KENTVIEW PARK,87 PASIR PANJANG HILL KENTVIEW PARK SINGAPORE 118892,11512.396694214876,11746.468617377708,private,103.78570766301719,1.2819169435167093
ALEX RESIDENCES,28 ALEXANDRA VIEW ALEX RESIDENCES SINGAPORE 158744,21428.571428571428,21550.735121195812,private,103.81900078175171,1.2905699967775521
THE GRANDHILL,39 PASIR PANJANG HILL THE GRANDHILL SINGAPORE 118860,15116.279069767443,15490.20089952289,private,103.78486945242655,1.2816263210663925
DOVER PARKVIEW,30 DOVER RISE DOVER PARKVIEW SINGAPORE 138687,13056.03448275862,13118.129232035406,private,103.78434569653287,1.3060939479574167
MARINA BAY RESIDENCES,18 MARINA BOULEVARD MARINA BAY RESIDENCES SINGAPORE 018980,23232.323232323233,24226.628216815137,private,103.8549872038058,1.2796257989067608
ICON,10 GOPENG STREET ICON SINGAPORE 078878,19074.074074074073,19000.43927551934,private,103.84449629851349,1.2751699949579876
LANDED HOUSING DEVELOPMENT in FABER TERRACE,21 FABER TERRACE FABER HILLS SINGAPORE 129016,16134.171688685161,16134.171688685161,private,103.75572775276446,1.3210066052753924
WEST SHORE RESIDENCES,248E PASIR PANJANG ROAD WEST SHORE RESIDENCES SINGAPORE 117391,8314.087759815242,8223.648652832166,private,103.78477918449163,1.2812766196390855
LANDED HOUSING DEVELOPMENT in NEIL ROAD,NEIL ROAD,20229.265003371544,20229.265003371544,private,103.83773511814866,1.2770512730971606
ICON @ PASIR PANJANG,218 PASIR PANJANG ROAD ICON @ PASIR PANJANG SINGAPORE 118579,15104.166666666666,15905.25852923448,private,103.78575618667038,1.2794867007096369
PASIR PANJANG LODGE,390 PASIR PANJANG ROAD PASIR PANJANG LODGE SINGAPORE 118722,10857.685563997662,10857.685563997662,private,103.7723798775079,1.2915543804977463
